scenario,SLA_seconds,cores,node_fraction,cores_bootstrap_ci_low,cores_bootstrap_ci_high,cores_replication_p025,cores_replication_p975,submissions,total_ticks,achieved_P95_seconds,replication_P95_sojourn_median_seconds,mean_sojourn_seconds,peak_backlog_submissions,peak_backlog_core_seconds,post_contest_drain_seconds,workload_lower_bound_cores,final30_burst_lower_bound_cores,skip_mode,skip_saving_fraction,assumptions,replications,seed
low_noip_N7546,120,179.612181,1.40322016,179.272743,181.187994,169.782319,181.188753,52780.64,7262548258709719.000,119.997395,92.160659,12.387857,828.40,26752.914,148.948218,92.731164,175.184353,first-zero-approx,0.042457,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=6.997;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[16, 20, 20, 16];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
low_noip_N7546,300,157.363661,1.22940360,156.894602,157.986811,148.735822,157.989265,52780.64,7262548258709719.000,300.009619,262.334430,32.149749,1892.25,60257.698,382.920033,91.819054,160.168551,first-zero-approx,0.042457,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=6.997;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[16, 20, 20, 16];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
low_noip_N7546,600,130.709123,1.02116503,130.336456,131.004210,123.788600,131.318121,52780.64,7262548258709719.000,599.999955,554.949055,69.464202,3269.05,103447.584,791.433542,90.338101,140.147482,first-zero-approx,0.042457,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=6.997;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[16, 20, 20, 16];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
low_noip_N7546,120,187.735917,1.46668685,187.187357,189.135569,177.369998,189.136860,52780.64,7584569143234134.000,119.993103,91.224463,12.291015,815.70,27727.335,147.693291,96.847124,183.024273,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=6.997;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[16, 20, 20, 16];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
low_noip_N7546,300,164.382927,1.28424162,163.924587,164.803894,155.442805,164.957306,52780.64,7584569143234134.000,299.999500,262.732601,32.133938,1891.20,62994.798,383.219837,95.894530,167.336478,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=6.997;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[16, 20, 20, 16];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
low_noip_N7546,600,136.547247,1.06677537,136.162768,136.885792,129.308415,137.198557,52780.64,7584569143234134.000,599.999963,555.681540,69.447214,3263.45,108017.273,791.061523,94.347844,146.419418,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=6.997;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[16, 20, 20, 16];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
central_noip_N7546,120,332.696628,2.59919241,331.447824,333.730629,316.172601,333.740625,81474.76,13450869984827192.000,120.001941,91.904615,12.212458,1429.00,56715.756,170.472891,171.765854,327.552205,first-zero-approx,0.063889,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=10.810;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[20, 25, 25, 20];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
central_noip_N7546,300,290.559277,2.26999435,289.185582,291.990428,275.921487,292.236095,81474.76,13450869984827192.000,299.998145,264.789353,32.468227,3079.95,119191.845,410.215244,170.076354,299.476302,first-zero-approx,0.063889,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=10.810;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[20, 25, 25, 20];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
central_noip_N7546,600,241.658478,1.88795686,240.254601,242.667118,230.100196,242.886093,81474.76,13450869984827192.000,599.999878,555.454570,69.678102,5131.45,197776.218,818.412081,167.333187,262.041764,first-zero-approx,0.063889,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=10.810;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[20, 25, 25, 20];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
central_noip_N7546,120,355.192216,2.77493919,354.187111,356.933857,337.835990,356.940231,81474.76,14368888409485844.000,120.000611,92.399969,12.292734,1435.15,60592.648,170.591148,183.486939,349.793775,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=10.810;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[20, 25, 25, 20];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
central_noip_N7546,300,310.506294,2.42583042,309.350409,312.344999,294.856392,312.345746,81474.76,14368888409485844.000,299.995421,264.887021,32.440659,3076.95,126875.164,408.607383,181.682150,319.811451,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=10.810;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[20, 25, 25, 20];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
central_noip_N7546,600,258.226947,2.01739802,256.692691,259.486986,245.799902,259.515912,81474.76,14368888409485844.000,599.998961,554.778216,69.685097,5131.05,211097.403,817.487895,178.751793,279.835020,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=10.810;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[20, 25, 25, 20];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
high_noip_N7546,120,723.583660,5.65299734,721.472934,725.681020,693.838564,725.706639,115339.73,29465656125026348.000,120.000104,97.439635,12.719018,2344.05,143596.907,198.452391,376.296892,720.878086,first-zero-approx,0.117542,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=15.288;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[28, 36, 44, 48];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
high_noip_N7546,300,630.541916,4.92610872,629.272133,633.256641,605.160510,633.273680,115339.73,29465656125026348.000,300.000703,272.950814,33.455472,4649.10,280399.818,444.696555,372.595612,659.088536,first-zero-approx,0.117542,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=15.288;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[28, 36, 44, 48];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
high_noip_N7546,600,524.962327,4.10126818,524.046109,526.089540,503.653626,526.424375,115339.73,29465656125026348.000,600.000134,567.867870,70.945471,7512.35,448670.634,854.672060,366.586005,576.702469,first-zero-approx,0.117542,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=15.288;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[28, 36, 44, 48];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
high_noip_N7546,120,820.403222,6.40940017,818.114912,822.112951,786.264289,822.340247,115339.73,33390432648643468.000,120.000907,97.218832,12.690039,2335.00,160345.404,195.447067,426.486874,816.219924,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=15.288;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[28, 36, 44, 48];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
high_noip_N7546,300,714.616313,5.58293994,713.605887,717.063741,685.733219,717.104816,115339.73,33390432648643468.000,300.000176,273.898819,33.544844,4664.45,315839.989,441.971423,422.291922,746.258217,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=15.288;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[28, 36, 44, 48];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
high_noip_N7546,600,595.251639,4.65040343,593.841012,596.704155,571.083135,596.776043,115339.73,33390432648643468.000,600.000221,568.280717,71.009280,7515.05,506782.241,851.374792,415.480761,652.975939,no-skip,0.000000,"N=7546;strata=U/B/M/S/E:[2472, 1768, 1761, 1196, 349];F9-U/B/M/S/E-layer-task-pxc;ability-task-correlated-runtime;weak-hard-fast-fail-and-early-zero;target-E[sub/person]=15.288;30m-final=19.78%;F10-fixed-NOIP2025-case-vector=[28, 36, 44, 48];constraint-table-subtasks=[13, 11, 10, 10];NOIP-overlap-priors=[8/20,11/25,7/25,10/20];active-subtask-testcase-union;internal-sale/tree-groups-and-query-queries-stay-within-one-sandbox-job;unique-testcases;end-to-end-runtime-effective-throughput;tick-derived-max-testcase-span;no-separate-runtime-overhead;FCFS-testcase-batch-fluid-backlog+parallel-span-completion;w_prefetch=2;drain-after-5h;no-N+1",240,20260713
